left eye - 1 (centre x),left eye - 1 (centre y),left eye - 2 (inner corner x),left eye - 2 (inner corner y),left eye - 3 (outer corner x),left eye - 3 (outer corner y),right eye - 1 (centre x),right eye - 1 (centre y),right eye - 2 (inner corner x),right eye - 2 (inner corner y),right eye - 3 (outer corner x),right eye - 3 (outer corner y),left eyebrow - 1 (inner end x),left eyebrow - 1 (inner end y),left eyebrow - 2 (outer end x),left eyebrow - 2 (outer end y),right eyebrow - 1 (inner end x),right eyebrow - 1 (inner end y),right eyebrow - 2 (outer end x),right eyebrow - 2 (outer end y),mouth - 1 (left corner x),mouth - 1 (left corner y),mouth - 2 (right corner x),mouth - 2 (right corner y),mouth - 3 (centre top lip x),mouth - 3 (centre top lip y),mouth - 4 (centre bottom lip x),mouth - 4 (centre bottom lip y),mouth - 5 (left top corner),mouth - 5 (left bottom corner),mouth - 6 (right top corner),mouth - 6 (right bottom corner)
66.03356391,39.00227368,59.58207519,39.64742256,73.13034586,39.96999699,30.22700752,36.4216782,36.35657143,37.3894015,23.45287218,37.3894015,56.95326316,29.03364812,80.22712782,32.22813835,40.22760902,29.0023218,16.35637895,29.64747068,61.19530827,79.97016541,28.61449624,77.38899248,43.3126015,72.93545865,43.13070677,84.48577444,43.3126015,72.93545865,43.13070677,84.48577444
64.33293617,34.9700766,58.85617021,35.27434894,70.7227234,36.18716596,29.9492766,33.44871489,36.0347234,34.36153191,24.47251064,33.14444255,53.98740426,28.27594894,78.63421277,30.4059234,42.72885106,26.14604255,16.8653617,27.05885957,56.42144681,76.352,35.12238298,76.04765957,46.68459574,70.26655319,45.46791489,85.48017021,46.68459574,70.26655319,45.46791489,85.48017021
65.05705263,34.90964211,59.412,36.32096842,70.98442105,36.32096842,30.90378947,34.90964211,37.67810526,36.32096842,24.97642105,36.60322105,55.74252632,27.57094737,78.88736842,32.65162105,42.19389474,28.13545263,16.79115789,32.08711579,60.82294737,73.01431579,33.72631579,72.732,47.27494737,70.19178947,47.27494737,78.65936842,47.27494737,70.19178947,47.27494737,78.65936842
65.22573913,37.26177391,60.00333913,39.12717913,72.31471304,38.38096696,32.02309565,37.26177391,37.61864348,38.75411478,25.30726957,38.00790261,56.4338087,30.92986435,77.91026087,31.66572522,41.67151304,31.04998957,20.45801739,29.90934261,65.59888696,72.70372174,37.24549565,74.19547826,50.30316522,70.09168696,51.56118261,78.26838261,50.30316522,70.09168696,51.56118261,78.26838261
66.72530061,39.62126135,58.56588957,39.62126135,72.51592638,39.88446626,32.24480982,38.0420319,36.98238037,39.09485153,22.50611043,38.30523681,57.24957055,30.67217669,77.76294479,31.73724663,38.03543558,30.9353816,15.92586994,30.67217669,60.67141104,77.52323926,31.1917546,76.99730061,44.96274847,73.7073865,44.2271411,86.87116564,44.96274847,73.7073865,44.2271411,86.87116564
69.68074766,39.96874766,62.86429907,40.16927103,76.89824299,41.17188785,29.1835514,37.56336449,36.40104673,39.36762617,21.76553271,38.56553271,59.76628037,31.65128972,83.31364486,35.35805607,39.408,30.54639252,14.94908411,32.15013084,64.86908411,82.47117757,31.99042991,81.66908411,49.30811215,78.48762617,49.43237383,93.89876636,49.30811215,78.48762617,49.43237383,93.89876636
64.13186577,34.29004027,57.79715436,35.15404027,69.02657718,34.29004027,29.57895302,33.13804027,34.76166443,33.71404027,24.10824161,33.13804027,58.66115436,27.09132886,76.22528859,29.10732886,40.23302013,27.09132886,19.50088591,27.66732886,55.78179866,70.57095302,33.89830872,70.28295302,45.12773154,65.09959732,45.41573154,78.05702013,45.12773154,65.09959732,45.41573154,78.05702013
67.4688932,39.41345243,59.55495146,40.45477282,75.59161165,40.03824466,29.35596117,39.6217165,37.47821359,40.45477282,21.02539806,40.03824466,56.01413592,27.33390291,84.13048544,31.29101359,39.76916505,26.91737476,11.86159223,31.91580583,66.84396117,80.02578641,30.18920388,81.27518447,48.10019417,71.27860194,48.51681553,91.06392233,48.10019417,71.27860194,48.51681553,91.06392233
65.80288,34.7552,58.65216,37.32928,72.95296,35.89952,27.47584,36.1856,36.3424,37.0432,20.32512,37.61536,57.50784,25.0304,79.2736,28.63424,36.3424,26.17472,12.88896,31.32288,65.5168,73.36832,31.19424,74.79808,49.21344,67.648,49.49952,83.09312,49.21344,67.648,49.49952,83.09312
64.12123077,36.74030769,58.62092308,37.84061538,71.272,37.29033846,29.46892308,38.39015385,36.34461538,39.49046154,22.86830769,40.04061538,56.97107692,28.48972308,75.94707692,29.58978462,36.61907692,29.31476923,16.81784615,33.99015385,65.77169231,69.19261538,32.76923077,72.21784615,49.27015385,67.54276923,49.54523077,76.89353846,49.27015385,67.54276923,49.54523077,76.89353846
